%eval_id  interface x1             x2             obj_fn         nln_ineq_con_1 
1        NO_ID     40.57707732    45.96417542    0              32             
2        NO_ID     0.5574121512   34.42320804    -144.2237      -19            
3        NO_ID     26.68933542    2.531347335    -106.8954      -24            
4        NO_ID     12.04526749    34.06995885    -147.8673      -8             
5        NO_ID     0.001371742112 36.64609053    -146.752       -17            
6        NO_ID     0.03703703704  17.66666667    -126.6099      -36            
7        NO_ID     0.004115226337 53.99588477    -164.9142      0              
8        NO_ID     53.99998306    1.693508781e-05 -81.45519      0              
9        NO_ID     0.296618063    53.77776084    -164.9142      0              
10       NO_ID     53.99998306    53.99998306    0              53             
11       NO_ID     28.07209267    53.99984758    0              27             
12       NO_ID     15.77660926    5.080526343e-05 -107.2393      -38            
13       NO_ID     5.026113905    49.43032058    -162.795       0              
14       NO_ID     42.06630087    0.0001524157903 -90.50843      -12            
15       NO_ID     48.81893004    26.94238683    0              21             
16       NO_ID     0.2772443225   52.623533      -163.9383      -1             
17       NO_ID     1.002337042    53.22225609    -164.654       0              
18       NO_ID     33.19753086    25.79561043    0              4              
19       NO_ID     53.99994919    28.18803028    0              27             
20       NO_ID     9.333316398    44.63840201    -159.6626      0              
21       NO_ID     7.809497197    1.693508781e-05 -107.5925      -46            
22       NO_ID     20.29675354    53.99984758    0              19             
23       NO_ID     34.21871666    5.080526343e-05 -98.91103      -20            
24       NO_ID     8.34034446     36.20164609    -149.5497      -10            
25       NO_ID     9.656302393    24.48117665    -135.375       -20            
26       NO_ID     47.00030483    53.99994919    0              46             
27       NO_ID     24.27297668    29.23593964    -138.3494      -1             
28       NO_ID     20.56927298    20.69638775    -130.2349      -12            
29       NO_ID     20.4092364     23.02164304    -133.0513      -11            
30       NO_ID     40.65432099    20.35528121    0              6              
31       NO_ID     1.693508781e-05 1.693508781e-05 -107.8899      -54            
32       NO_ID     48.31294349    1.693508781e-05 -84.46674      -6             
33       NO_ID     26.20286542    18.32845603    -124.565       -10            
34       NO_ID     35.15018036    53.99994919    0              34             
35       NO_ID     50.82075903    42.51440329    0              39             
36       NO_ID     13.63069654    14.45038866    -123.2172      -26            
37       NO_ID     3.793781436    10.38210639    -118.514       -40            
38       NO_ID     32.00137174    42.41746685    0              19             
39       NO_ID     52.1486054     12.12391404    0              9              
40       NO_ID     3.130366306    47.60417619    -160.6943      -3             
41       NO_ID     21.53084726    1.693508781e-05 -106.0402      -32            
42       NO_ID     14.10826602    53.99994919    0              13             
43       NO_ID     45.35848194    11.22770919    0              1              
44       NO_ID     7.380124981    44.2635269     -158.0453      -3             
45       NO_ID     19.25924232    32.28466189    -144.4282      -3             
46       NO_ID     35.12894376    11.5907636     -112.2306      -7             
47       NO_ID     41.47736626    33.89437586    0              20             
48       NO_ID     25.53315043    11.95839049    -117.3336      -16            
49       NO_ID     7.808718183    30.85916781    -143.6382      -15            
50       NO_ID     53.99994919    20.15622619    0              19             
51       NO_ID     22.97347965    45.04481024    0              13             
52       NO_ID     6.618960524    17.8233501     -127.9948      -29            
53       NO_ID     2.489102271    24.10653864    -133.5904      -28            
54       NO_ID     53.99994919    36.29807448    0              35             
55       NO_ID     32.18152721    34.73296754    0              12             
56       NO_ID     11.74246812    39.90839811    -154.5132      -2             
57       NO_ID     31.09236397    9.106386222    -111.3755      -14            
58       NO_ID     41.19580349    53.99994919    0              40             
59       NO_ID     17.75903064    7.032007316    -114.415       -29            
60       NO_ID     2.807448052    50.22095209    -162.8322      -1             
61       NO_ID     1.693508781e-05 7.543345357    -115.6512      -46            
62       NO_ID     53.99994919    46.8427069     0              46             
63       NO_ID     53.99994919    5.866941015    0              5              
64       NO_ID     10.5647005     8.06264289     -116.9896      -35            
65       NO_ID     0.5104404816   46.00472489    -157.1994      -7             
66       NO_ID     36.78875171    36.10196616    0              18             
67       NO_ID     45.63831733    41.73525377    0              33             
68       NO_ID     2.641518061    38.54976376    -150.7859      -12            
69       NO_ID     23.15139969    24.23761622    -133.3022      -7             
70       NO_ID     17.7480567     46.22085048    0              9              
71       NO_ID     40.23731139    8.401005944    -103.0008      -6             
72       NO_ID     37.45247168    4.194228522    -100.9094      -13            
73       NO_ID     16.25743027    28.50891632    -141.6119      -9             
74       NO_ID     27.51211706    41.22953818    0              14             
75       NO_ID     45.23868313    21.72153635    0              12             
76       NO_ID     3.64034954     1.693508781e-05 -107.5832      -50            
77       NO_ID     9.935832952    40.58227912    -155.4892      -3             
78       NO_ID     46.80429813    33.64471879    0              26             
79       NO_ID     37.88431642    27.47919524    0              10             
80       NO_ID     14.19219631    21.33043743    -131.5827      -19            
81       NO_ID     1.693508781e-05 26.00001694    -135.2727      -28            
82       NO_ID     29.70416095    48.52629172    0              24             
83       NO_ID     47.06310014    48.35985368    0              40             
84       NO_ID     0.1433893885   53.88922759    -164.9142      0              
85       NO_ID     20.98831479    29.08748666    -140.1619      -4             
86       NO_ID     47.17741198    5.592592593    -92.59049      -1             
87       NO_ID     33.2085048     18.45861911    -120.2429      -3             
88       NO_ID     1.693508781e-05 49.68810649    -160.7501      -4             
89       NO_ID     30.62891836    13.66666667    -117.2964      -9             
90       NO_ID     21.25422954    39.4526749     0              5              
91       NO_ID     49.18747142    17.72153635    0              12             
92       NO_ID     6.444427509    47.00596115    -160.9918      -1             
93       NO_ID     7.37219936     47.29446731    -161.3357      0              
94       NO_ID     5.210333791    4.900320073    -113.0951      -44            
95       NO_ID     19.25788752    12.90946502    -120.9214      -22            
96       NO_ID     15.73129096    34.08885841    -147.5885      -4             
97       NO_ID     10.40618808    17.37524768    -127.0467      -27            
98       NO_ID     35.98308185    47.11156836    0              28             
99       NO_ID     28.94878829    25.09602195    -130.3557      0              
100      NO_ID     26.51118563    25.3333164     -132.1218      -2             
101      NO_ID     22.4324036     7.031092821    -113.1415      -25            
102      NO_ID     24.22400041    53.99994919    0              23             
103      NO_ID     29.99639283    5.080526343e-05 -102.1085      -24            
