%             x              y              z       Ishigami 
  -3.059615011   -3.059615011   -3.059615011  -0.7525382019 
  -2.717674422   -3.059615011   -3.059615011   -3.969045483 
  -2.134426306   -3.059615011   -3.059615011   -8.206179433 
  -1.361550636   -3.059615011   -3.059615011   -9.503393867 
 -0.4677021346   -3.059615011   -3.059615011    -4.35470887 
  0.4677021346   -3.059615011   -3.059615011    4.448582973 
   1.361550636   -3.059615011   -3.059615011     9.59726797 
   2.134426306   -3.059615011   -3.059615011    8.300053536 
   2.717674422   -3.059615011   -3.059615011    4.062919587 
   3.059615011   -3.059615011   -3.059615011   0.8464123051 
  -3.059615011   -2.717674422   -3.059615011   0.3849001659 
  -2.717674422   -2.717674422   -3.059615011   -2.831607116 
  -2.134426306   -2.717674422   -3.059615011   -7.068741065 
  -1.361550636   -2.717674422   -3.059615011   -8.365955499 
 -0.4677021346   -2.717674422   -3.059615011   -3.217270502 
  0.4677021346   -2.717674422   -3.059615011    5.586021341 
   1.361550636   -2.717674422   -3.059615011    10.73470634 
   2.134426306   -2.717674422   -3.059615011    9.437491904 
   2.717674422   -2.717674422   -3.059615011    5.200357954 
   3.059615011   -2.717674422   -3.059615011    1.983850673 
  -3.059615011   -2.134426306   -3.059615011    4.202501904 
  -2.717674422   -2.134426306   -3.059615011   0.9859946227 
  -2.134426306   -2.134426306   -3.059615011   -3.251139327 
  -1.361550636   -2.134426306   -3.059615011    -4.54835376 
 -0.4677021346   -2.134426306   -3.059615011    0.600331236 
  0.4677021346   -2.134426306   -3.059615011     9.40362308 
   1.361550636   -2.134426306   -3.059615011    14.55230808 
   2.134426306   -2.134426306   -3.059615011    13.25509364 
   2.717674422   -2.134426306   -3.059615011    9.017959693 
   3.059615011   -2.134426306   -3.059615011    5.801452411 
  -3.059615011   -1.361550636   -3.059615011    5.898485443 
  -2.717674422   -1.361550636   -3.059615011    2.681978161 
  -2.134426306   -1.361550636   -3.059615011   -1.555155788 
  -1.361550636   -1.361550636   -3.059615011   -2.852370222 
 -0.4677021346   -1.361550636   -3.059615011    2.296314775 
  0.4677021346   -1.361550636   -3.059615011    11.09960662 
   1.361550636   -1.361550636   -3.059615011    16.24829161 
   2.134426306   -1.361550636   -3.059615011    14.95107718 
   2.717674422   -1.361550636   -3.059615011    10.71394323 
   3.059615011   -1.361550636   -3.059615011     7.49743595 
  -3.059615011  -0.4677021346   -3.059615011   0.6232988852 
  -2.717674422  -0.4677021346   -3.059615011   -2.593208396 
  -2.134426306  -0.4677021346   -3.059615011   -6.830342346 
  -1.361550636  -0.4677021346   -3.059615011    -8.12755678 
 -0.4677021346  -0.4677021346   -3.059615011   -2.978871783 
  0.4677021346  -0.4677021346   -3.059615011     5.82442006 
   1.361550636  -0.4677021346   -3.059615011    10.97310506 
   2.134426306  -0.4677021346   -3.059615011    9.675890623 
   2.717674422  -0.4677021346   -3.059615011    5.438756674 
   3.059615011  -0.4677021346   -3.059615011    2.222249392 
  -3.059615011   0.4677021346   -3.059615011   0.6232988852 
  -2.717674422   0.4677021346   -3.059615011   -2.593208396 
  -2.134426306   0.4677021346   -3.059615011   -6.830342346 
  -1.361550636   0.4677021346   -3.059615011    -8.12755678 
 -0.4677021346   0.4677021346   -3.059615011   -2.978871783 
  0.4677021346   0.4677021346   -3.059615011     5.82442006 
   1.361550636   0.4677021346   -3.059615011    10.97310506 
   2.134426306   0.4677021346   -3.059615011    9.675890623 
   2.717674422   0.4677021346   -3.059615011    5.438756674 
   3.059615011   0.4677021346   -3.059615011    2.222249392 
  -3.059615011    1.361550636   -3.059615011    5.898485443 
